radius,bw,k_local,k_season,tau_days,eligible,nights_scored,median_error_min,mean_error_min,within_30m_hits,within_30m_rate,within_60m_hits,within_60m_rate,within_90m_hits,within_90m_rate,within_120m_hits,within_120m_rate,selection_score
3000,2.0,5,5,240.0,98,29,86.0,107.89795918367346,19,0.19387755102040816,38,0.3877551020408163,51,0.5204081632653061,66,0.673469387755102,3.5336167800453517
3000,2.0,5,10,240.0,98,29,86.0,107.89795918367346,19,0.19387755102040816,38,0.3877551020408163,51,0.5204081632653061,66,0.673469387755102,3.5336167800453517
1000,2.0,10,5,120.0,98,29,87.0,103.61224489795919,22,0.22448979591836735,35,0.35714285714285715,51,0.5204081632653061,63,0.6428571428571429,3.5322278911564626
1000,2.0,10,10,120.0,98,29,87.0,103.61224489795919,22,0.22448979591836735,35,0.35714285714285715,51,0.5204081632653061,63,0.6428571428571429,3.5322278911564626
1000,2.0,10,5,240.0,98,29,87.0,104.04081632653062,22,0.22448979591836735,34,0.3469387755102041,51,0.5204081632653061,64,0.6530612244897959,3.5118197278911567
1000,2.0,10,20,120.0,98,29,87.0,103.93877551020408,22,0.22448979591836735,34,0.3469387755102041,51,0.5204081632653061,64,0.6530612244897959,3.5118197278911567
3000,2.0,10,10,240.0,98,29,88.5,107.36734693877551,18,0.1836734693877551,39,0.3979591836734694,50,0.5102040816326531,65,0.6632653061224489,3.489328231292517
3000,2.0,10,20,240.0,98,29,88.5,107.36734693877551,18,0.1836734693877551,39,0.3979591836734694,50,0.5102040816326531,65,0.6632653061224489,3.489328231292517
3000,1.5,5,5,120.0,98,29,79.5,109.63265306122449,16,0.16326530612244897,37,0.37755102040816324,56,0.5714285714285714,65,0.6632653061224489,3.4814200680272105
3000,2.0,10,5,240.0,98,29,87.0,107.36734693877551,18,0.1836734693877551,38,0.3877551020408163,51,0.5204081632653061,65,0.6632653061224489,3.4812074829931974
3000,1.5,10,20,120.0,98,29,87.0,108.81632653061224,19,0.19387755102040816,36,0.3673469387755102,52,0.5306122448979592,65,0.6632653061224489,3.4812074829931974
3000,1.5,5,5,240.0,98,29,80.5,111.16326530612245,18,0.1836734693877551,36,0.3673469387755102,54,0.5510204081632653,64,0.6530612244897959,3.480031179138322
3000,1.5,5,10,240.0,98,29,80.5,111.16326530612245,18,0.1836734693877551,36,0.3673469387755102,54,0.5510204081632653,64,0.6530612244897959,3.480031179138322
3000,1.5,5,20,240.0,98,29,80.5,111.16326530612245,18,0.1836734693877551,36,0.3673469387755102,54,0.5510204081632653,64,0.6530612244897959,3.480031179138322
3000,1.5,5,5,,98,29,84.0,112.6938775510204,19,0.19387755102040816,36,0.3673469387755102,53,0.5408163265306123,62,0.6326530612244898,3.4751700680272113
3000,1.5,5,20,,98,29,86.0,112.6938775510204,19,0.19387755102040816,36,0.3673469387755102,53,0.5408163265306123,62,0.6326530612244898,3.4723922902494335
3000,2.0,2,5,240.0,98,29,81.0,109.89795918367346,17,0.17346938775510204,36,0.3673469387755102,55,0.5612244897959183,65,0.6632653061224489,3.4691326530612248
3000,2.0,2,10,240.0,98,29,81.0,109.89795918367346,17,0.17346938775510204,36,0.3673469387755102,55,0.5612244897959183,65,0.6632653061224489,3.4691326530612248
3000,2.0,2,20,240.0,98,29,81.0,109.89795918367346,17,0.17346938775510204,36,0.3673469387755102,55,0.5612244897959183,65,0.6632653061224489,3.4691326530612248
