radius_m,bandwidth_h,local_weight,min_local,tau_days,eligible,nights_scored,median_absolute_error_minutes,mean_absolute_error_minutes,within_30m_hits,within_30m_rate,within_30m_wilson95,within_60m_hits,within_60m_rate,within_60m_wilson95,within_90m_hits,within_90m_rate,within_90m_wilson95,selection_score
1000,1.5,0.8,2,90.0,98,29,91.0,112.57142857142857,19,0.19387755102040816,"[0.12777973480910126, 0.2830700554534241]",28,0.2857142857142857,"[0.20568632301416542, 0.38190853016960236]",49,0.5,"[0.402890108516874, 0.597109891483126]",1.5898667800453512
3000,1.0,0.8,3,180.0,98,29,92.5,118.48979591836735,16,0.16326530612244897,"[0.10306715625004181, 0.24886761303873606]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",48,0.4897959183673469,"[0.3930904002751632, 0.5872712594002543]",1.5888251133786846
1500,2.0,0.95,2,,98,29,93.0,114.6734693877551,14,0.14285714285714285,"[0.0870439104644005, 0.2256141781752124]",36,0.3673469387755102,"[0.27858728951874556, 0.46611428626168216]",48,0.4897959183673469,"[0.3930904002751632, 0.5872712594002543]",1.5884778911564623
2000,1.5,0.99,1,,98,29,95.0,120.24489795918367,15,0.15306122448979592,"[0.0950059903962593, 0.23729043856793613]",36,0.3673469387755102,"[0.27858728951874556, 0.46611428626168216]",45,0.45918367346938777,"[0.36392528815047387, 0.5575213505511963]",1.5870890022675737
500,1.5,0.95,1,180.0,98,29,96.5,108.20408163265306,18,0.1836734693877551,"[0.11945967624196774, 0.2717517736959752]",32,0.32653061224489793,"[0.2417611712469177, 0.42438704323518]",44,0.4489795918367347,"[0.3542819817359245, 0.5475263166411631]",1.586047335600907
500,1.5,0.8,1,90.0,98,29,97.0,109.34693877551021,17,0.17346938775510204,"[0.11122039941721075, 0.26035271019614964]",32,0.32653061224489793,"[0.2417611712469177, 0.42438704323518]",47,0.47959183673469385,"[0.38332963929572583, 0.5773936800551093]",1.5857001133786848
1000,2.0,0.99,1,180.0,98,29,83.0,114.10204081632654,16,0.16326530612244897,"[0.10306715625004181, 0.24886761303873606]",29,0.29591836734693877,"[0.21463049371609197, 0.39260269979225826]",55,0.5612244897959183,"[0.46250823376575, 0.6553218081817449]",1.585218253968254
500,2.0,0.99,3,180.0,98,29,100.5,111.24489795918367,18,0.1836734693877551,"[0.11945967624196774, 0.2717517736959752]",32,0.32653061224489793,"[0.2417611712469177, 0.42438704323518]",44,0.4489795918367347,"[0.3542819817359245, 0.5475263166411631]",1.5832695578231293
1500,2.0,0.95,1,180.0,98,29,87.0,113.6734693877551,15,0.15306122448979592,"[0.0950059903962593, 0.23729043856793613]",32,0.32653061224489793,"[0.2417611712469177, 0.42438704323518]",52,0.5306122448979592,"[0.43252291695680106, 0.6263921040169464]",1.5824404761904762
500,1.0,0.99,3,180.0,98,29,106.0,119.26530612244898,20,0.20408163265306123,"[0.1361759801787412, 0.29431215040836667]",30,0.30612244897959184,"[0.22362525822357754, 0.4032462756093553]",42,0.42857142857142855,"[0.3351141839487037, 0.5274174337792189]",1.579450113378685
